Row,Reference,Part,Value,P/N,Manufacturer,Footprint,Description,Quantity Per PCB
1,C4 C6 C7 C8 C9 C11 C14 C15 C16 C17 C18 C19 C21 C22 C23 C24,C_Small,8.2 nF,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,16
2,C1,C-device,100 nF,,,C_Rect_L7_W3.5_P5,,1
3,C3 C5 C10 C12 C13 C20 C25 C26,C_Polarized_Small,47 µF,,,CP_Radial_D5.0mm_P2.50mm,,8
4,C2,CP-device,100 µF,,,CP_Radial_D8.0mm_P2.50mm,,1
5,D1,LED-device,LED,,,LED-5MM,,1
6,J2 J3,NMJ6HCD2,NMJ6HCD2,,,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,,2
7,J1 J4,CONN_01X02-conn,V+ GND,,,PinHeader_1x02_P2.54mm_Vertical,,2
8,JOVGI1 JOVGI2,CONN_01X04-conn,OVGI,,,Pin_Header_Straight_1x04_Pitch2.54mm,,2
9,N1,Housing,Housing,,,1590B,,1
10,R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24,R_Small,12 kΩ,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,21
11,R1 R2 R3,R-device,1 MΩ,,,Resistor_Horizontal_RM7mm,,3
12,RV1 RV2 RV3,R_Potentiometer,50 Ω,,,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,,3
13,SW1,SW_3PDT-switches,SW_3PDT,,,3PDT-Footswitch,,1
14,U2,L78L05_SOT89,L78L05_SOT89,,,SOT-89-3,,1
15,U3,PT2399,PT2399,,,SOIC-16_3.9x9.9mm_P1.27mm,,1
16,U1,TL072,TL072,,,SOIC-8_3.9x4.9mm_P1.27mm,,1





Project info:
Schematic:,rebote-smd
Variant:,default
Revision:,1.0.2
Date:,2023-08-10_15-27-38
KiCad Version:,7.0.5.1-1-g8f565ef7f0-dirty-deb11
Statistics:
Component Groups:,16
Component Count:,65
Fitted Components:,65
Number of PCBs:,1
Total Components:,65
